"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"";"NUTUBE_6P1_1";"NUTUBE_6P1_1";"U1";"NUTUBE 6P1 Twin Triode";"";
"2";"0.0022u";"C-2012";"2012-C";"C35, C39";"";"";
"2";"0.012u FILM";"C/5";"C050-024X044";"C30, C32";"";"";
"2";"0.022u";"C-2012";"2012-C";"C19, C20";"";"";
"8";"0.1u";"C-2012";"2012-C";"C8, C13, C14, C15, C17, C18, C25, C26";"";"";
"2";"1.5k";"R-2012";"2012-R";"R6, R7";"";"";
"2";"10";"R-4532";"4532";"R26, R31";"";"";
"1";"1000p";"C-2012";"2012-C";"C3";"";"";
"1";"100K";"VR2C";"VR2C";"VR5";"";"";
"4";"100k";"R-2012";"2012-R";"R22, R23, R33, R34";"";"";
"8";"10k";"R-2012";"2012-R";"R14, R15, R18, R20, R24, R27, R29, R32";"";"";
"4";"10p";"C-2012";"2012-C";"C11, C12, C36, C40";"";"";
"5";"10u";"C-2012";"2012-C";"C4, C5, C6, C7, C9";"";"";
"3";"10u";"C-3216";"3216";"C16, C23, C24";"";"";
"3";"10u";"CC-2.5-7";"E2,5-7";"C29, C31, C33";"";"";
"1";"10u";"INDUCTOR-NR10050T";"NR10050T";"U$1";"Inductors";"";
"4";"10uBP";"CC-2.5-7";"E2,5-7";"C21, C22, C34, C38";"";"";
"1";"12M";"FA-238V";"FA-238V";"Q1";"MHz RANGE CRYSTAL UNIT";"";
"2";"150";"R-2012";"2012-R";"R12, R13";"";"";
"2";"16";"R-2012";"2012-R";"R8, R9";"";"";
"1";"1M";"R-2012";"2012-R";"R3";"";"";
"1";"1k";"R-2012";"2012-R";"R28";"";"";
"3";"1u";"C-2012";"2012-C";"C10, C27, C28";"";"";
"2";"22";"R-2012";"2012-R";"R4, R5";"";"";
"2";"220u";"CC-2.5-7";"E2,5-7";"C37, C41";"";"";
"1";"2M";"R-2012";"2012-R";"R1";"";"";
"2";"2SK209";"2SK209";"SC59";"U$2, U$3";"";"";
"2";"330";"R-2012";"2012-R";"R10, R11";"";"";
"2";"33k";"R-2012";"2012-R";"R16, R17";"";"";
"2";"4.7k";"R-2012";"2012-R";"R25, R30";"";"";
"2";"4.7u";"C-2012";"2012-C";"C1, C2";"";"";
"2";"47k";"R-2012";"2012-R";"R19, R21";"";"";
"1";"62K";"R-2012";"2012-R";"R2";"";"";
"2";"B10K";"VR2";"VR2";"VR3, VR4";"";"";
"2";"B500K";"VR2";"VR2";"VR1, VR2";"";"";
"1";"GREEN";"LED-SMD2012";"D2012";"D5";"";"";
"4";"HOLE_3.2";"HOLE_3.2";"HOLE_3.2";"HOLE1, HOLE2, HOLE3, HOLE4";"Robotechhole diameter 3.2mmtDoc  washer(diameter 8mm)bDoc spacer(diameter 6mm)";"";
"1";"MINI-USB-";"MINI-USB-";"UX60A-MB-5ST";"CON1";"MINI USB Connector";"";
"1";"NJM4580EMP8";"NJM4580EMP8";"EMP8";"IC4";"";"";
"1";"PCM2704";"PCM2704";"SSOP28";"IC3";"";"";
"2";"SLIDESW_SS12D01G4";"SLIDESW_SS12D01G4";"SS12D01G4";"SW1, SW2";"Slide Switch";"";
"1";"STEREO-3.5-MJ8435";"STEREO-3.5-MJ8435";"MJ8435";"CN1";"";"";
"1";"TAR5SB33";"TAR5SB33";"SSOP5-P-0.95";"IC2";"Voltage Regulator max 200mA.";"";
"1";"TLV61046A";"TLV61046A";"SOT23-6";"IC1";"";"";
